Date,Price (USD)
12/29/1978,78.5
1/1/1979,78.5
1/2/1979,78.8
1/3/1979,76.0
1/4/1979,77.5
1/5/1979,78.4
1/8/1979,77.5
1/9/1979,77.8
1/10/1979,76.7
1/11/1979,76.7
1/12/1979,75.6
1/15/1979,75.4
1/16/1979,76.7
1/17/1979,79.0
1/18/1979,80.5
1/19/1979,80.1
1/22/1979,81.7
1/23/1979,79.9
1/24/1979,82.0
1/25/1979,81.3
1/26/1979,81.8
1/29/1979,81.7
1/30/1979,81.1
1/31/1979,81.2
2/1/1979,79.7
2/2/1979,80.0
2/5/1979,84.5
2/6/1979,85.0
2/7/1979,87.4
2/8/1979,87.0
2/9/1979,85.7
2/12/1979,84.9
2/13/1979,83.6
2/14/1979,83.6
2/15/1979,86.1
2/16/1979,85.8
2/19/1979,86.2
2/20/1979,85.8
2/21/1979,87.1
2/22/1979,87.7
2/23/1979,87.2
2/26/1979,86.4
2/27/1979,86.1
2/28/1979,87.3
3/1/1979,86.5
3/2/1979,86.2
3/5/1979,82.8
3/6/1979,83.3
3/7/1979,84.2
3/8/1979,83.1
3/9/1979,83.7
3/12/1979,83.4
3/13/1979,83.1
3/14/1979,83.2
3/15/1979,83.4
3/16/1979,84.8
3/19/1979,84.2
3/20/1979,84.1
3/21/1979,83.4
3/22/1979,84.4
3/23/1979,84.3
3/26/1979,85.2
3/27/1979,84.9
3/28/1979,84.9
3/29/1979,83.9
3/30/1979,83.4
4/2/1979,83.3
4/3/1979,83.4
4/4/1979,83.3
4/5/1979,83.6
4/6/1979,83.3
4/9/1979,83.5
4/10/1979,83.3
4/11/1979,82.8
4/12/1979,81.3
4/13/1979,81.3
4/16/1979,81.3
4/17/1979,80.6
4/18/1979,81.0
4/19/1979,83.7
4/20/1979,82.1
4/23/1979,82.3
4/24/1979,83.3
4/25/1979,84.0
4/26/1979,84.2
4/27/1979,84.7
4/30/1979,85.2
5/1/1979,85.9
5/2/1979,85.6
5/3/1979,85.7
5/4/1979,86.3
5/7/1979,86.3
5/8/1979,86.5
5/9/1979,86.2
5/10/1979,87.7
5/11/1979,87.4
5/14/1979,87.2
5/15/1979,88.8
5/16/1979,89.1
5/17/1979,89.2
5/18/1979,89.1
5/21/1979,91.0
5/22/1979,92.2
5/23/1979,91.8
5/24/1979,91.6
5/25/1979,94.0
5/28/1979,94.0
5/29/1979,95.1
5/30/1979,93.9
5/31/1979,95.4
6/1/1979,95.6
6/4/1979,94.8
6/5/1979,95.5
6/6/1979,97.3
6/7/1979,95.9
6/8/1979,97.3
6/11/1979,98.1
6/12/1979,96.5
6/13/1979,96.1
6/14/1979,96.9
6/15/1979,97.3
6/18/1979,96.6
6/19/1979,97.4
6/20/1979,97.8
6/21/1979,98.1
6/22/1979,98.5
6/25/1979,98.6
6/26/1979,97.8
6/27/1979,97.9
6/28/1979,95.9
6/29/1979,96.4
7/2/1979,98.2
7/3/1979,97.8
7/4/1979,98.5
7/5/1979,100.2
7/6/1979,100.9
7/9/1979,100.0
7/10/1979,100.9
7/11/1979,100.9
7/12/1979,101.0
7/13/1979,99.9
7/16/1979,101.7
7/17/1979,103.0
7/18/1979,105.0
7/19/1979,103.9
7/20/1979,103.8
7/23/1979,105.9
7/24/1979,106.1
7/25/1979,105.4
7/26/1979,106.1
7/27/1979,106.3
7/30/1979,104.7
7/31/1979,103.0
8/1/1979,100.8
8/2/1979,101.3
8/3/1979,99.6
8/6/1979,98.2
8/7/1979,99.1
8/8/1979,100.4
8/9/1979,103.2
8/10/1979,105.5
8/13/1979,103.8
8/14/1979,101.5
8/15/1979,104.9
8/16/1979,103.5
8/17/1979,104.4
8/20/1979,103.8
8/21/1979,104.4
8/22/1979,108.1
8/23/1979,107.7
8/24/1979,109.4
8/27/1979,109.4
8/28/1979,110.1
8/29/1979,109.5
8/30/1979,110.9
8/31/1979,109.5
9/3/1979,112.2
9/4/1979,112.9
9/5/1979,114.3
9/6/1979,116.6
9/7/1979,114.4
9/10/1979,116.9
9/11/1979,118.0
9/12/1979,117.1
9/13/1979,115.7
9/14/1979,120.2
9/17/1979,122.2
9/18/1979,130.6
9/19/1979,128.2
9/20/1979,132.0
9/21/1979,128.2
9/24/1979,132.2
9/25/1979,130.9
9/26/1979,129.9
9/27/1979,137.4
9/28/1979,138.0
10/1/1979,144.1
10/2/1979,148.0
10/3/1979,139.7
10/4/1979,133.4
10/5/1979,133.8
10/8/1979,129.3
10/9/1979,134.1
10/10/1979,143.5
10/11/1979,139.5
10/12/1979,137.3
10/15/1979,140.0
10/16/1979,137.0
10/17/1979,134.1
10/18/1979,132.2
10/19/1979,136.6
10/22/1979,136.2
10/23/1979,133.8
10/24/1979,137.3
10/25/1979,136.1
10/26/1979,130.3
10/29/1979,130.0
10/30/1979,131.2
10/31/1979,132.7
11/1/1979,131.5
11/2/1979,129.5
11/5/1979,132.4
11/6/1979,133.5
11/7/1979,137.3
11/8/1979,135.3
11/9/1979,135.3
11/12/1979,136.6
11/13/1979,134.5
11/14/1979,135.5
11/15/1979,134.1
11/16/1979,135.6
11/19/1979,135.5
11/20/1979,134.7
11/21/1979,137.7
11/22/1979,136.6
11/23/1979,136.2
11/26/1979,137.3
11/27/1979,136.8
11/28/1979,142.9
11/29/1979,143.1
11/30/1979,144.4
12/3/1979,149.0
12/4/1979,149.8
12/5/1979,148.2
12/6/1979,150.7
12/7/1979,149.6
12/10/1979,149.8
12/11/1979,154.8
12/12/1979,155.1
12/13/1979,159.4
12/14/1979,158.7
12/17/1979,163.1
12/18/1979,166.0
12/19/1979,169.7
12/20/1979,163.8
12/21/1979,164.4
12/24/1979,164.4
12/25/1979,164.4
12/26/1979,164.4
12/27/1979,164.4
12/28/1979,177.9
12/31/1979,177.9
1/1/1980,177.9
1/2/1980,194.4
1/3/1980,220.3
1/4/1980,204.3
1/7/1980,220.1
1/8/1980,212.0
1/9/1980,211.0
1/10/1980,209.5
1/11/1980,216.5
1/14/1980,229.3
1/15/1980,237.7
1/16/1980,264.1
1/17/1980,260.6
1/18/1980,290.1
1/21/1980,295.3
1/22/1980,256.3
1/23/1980,241.5
1/24/1980,249.1
1/25/1980,232.1
1/28/1980,216.8
1/29/1980,234.3
1/30/1980,240.1
1/31/1980,226.9
2/1/1980,235.1
2/4/1980,232.7
2/5/1980,237.0
2/6/1980,246.4
2/7/1980,243.0
2/8/1980,240.4
2/11/1980,246.9
2/12/1980,241.3
2/13/1980,242.1
2/14/1980,237.0
2/15/1980,231.8
2/18/1980,229.9
2/19/1980,226.6
2/20/1980,210.6
2/21/1980,231.1
2/22/1980,218.9
2/25/1980,214.2
2/26/1980,223.2
2/27/1980,221.0
2/28/1980,224.5
2/29/1980,221.3
3/3/1980,220.2
3/4/1980,219.3
3/5/1980,223.6
3/6/1980,217.5
3/7/1980,211.6
3/10/1980,203.3
3/11/1980,198.1
3/12/1980,203.5
3/13/1980,193.4
3/14/1980,181.7
3/17/1980,168.2
3/18/1980,167.3
3/19/1980,183.1
3/20/1980,194.9
3/21/1980,182.4
3/24/1980,194.0
3/25/1980,190.2
3/26/1980,176.3
3/27/1980,168.6
3/28/1980,170.3
3/31/1980,171.8
4/1/1980,177.0
4/2/1980,173.9
4/3/1980,168.8
4/4/1980,168.8
4/7/1980,168.8
4/8/1980,183.5
4/9/1980,192.5
4/10/1980,182.8
4/11/1980,184.3
4/14/1980,184.1
4/15/1980,172.9
4/16/1980,180.7
4/17/1980,178.3
4/18/1980,179.2
4/21/1980,175.8
4/22/1980,174.6
4/23/1980,176.0
4/24/1980,179.2
4/25/1980,191.6
4/28/1980,182.2
4/29/1980,178.5
4/30/1980,180.0
5/1/1980,170.3
5/2/1980,178.1
5/5/1980,178.1
5/6/1980,178.1
5/7/1980,177.2
5/8/1980,179.2
5/9/1980,176.6
5/12/1980,178.3
5/13/1980,177.9
5/14/1980,182.4
5/15/1980,179.6
5/16/1980,179.5
5/19/1980,178.5
5/20/1980,176.4
5/21/1980,178.4
5/22/1980,174.1
5/23/1980,177.6
5/26/1980,177.6
5/27/1980,178.9
5/28/1980,182.9
5/29/1980,180.5
